"text","label"
"Bro h@sh chahiye Banashankari side",1
"Let's play cricket in the park",0
"Pick 🍄 from Airport Road in the morning",1
"get pot near Majestic",1
"Get green apples at Cubbon Park market",0
"Bro powder chahiye KR Puram side",1
"How's your day going?",0
"Family dinner at Electronic City",0
"Pick me up near Electronic City",0
"Drop grn at my place in Jayanagar",1
"I'll drop by Rajajinagar 2nite",0
"Arrange acid tabs at Silk Board before work",1
"Cash ready, bring ma@l to Electronic City",1
"How's your day going?",0
"I'll drop by MG Road now",0
"Pick up vegetables from KR Puram",0
"supply some lsd at HSR Layout",1
"I'll drop by Kengeri right away",0
"Pick me up near Electronic City",0
"Pick 🌿 from Commercial Street tomorrow",1
"Pick up vegetables from Kengeri",0
"Family dinner at Rajajinagar",0
"Bro molly chahiye HSR Layout side",1
"Going to Cubbon Park for dinner",0
"Bro ganjaa chahiye Airport Road side",1
"grab acid tabs to MG Road before work",1
"Arrange hash at Rajajinagar after class",1
"Need charas from Banashankari",1
"Pick up vegetables from Koramangala",0
"Arrange tabs at Cubbon Park right away",1
"Where can I score kush tomorrow?",1
"Going shopping at MG Road",0
"See you at college 2nite",0
"Where can I buy w33d later?",1
"Pick me up near Kengeri",0
"Family dinner at Airport Road",0
"Pick me up near Majestic",0
"Did you call the electrician?",0
"Get green apples at Whitefield market",0
"Don't forget the office meeting",0
"Drop ma@l at my place in Malleshwaram",1
"Need tabs from Majestic",1
"Pick 🧪 from KR Puram tmrw",1
"Arrange stuff at BTM now",1
"How's your day going?",0
"Family dinner at Cubbon Park",0
"Bro doob chahiye MG Road side",1
"Bro md chahiye HSR Layout side",1
"Collect papers from Whitefield",0
"Party at my place before work",0
"Where can I get hash in the morning?",1
"Send weed via courier later",1
"send xtc to Malleshwaram tonight",1
"Let's meet at Whitefield in the morning",0
"Arrange ganjaa at Majestic before work",1
"Pick up vegetables from Koramangala",0
"collect some ganja at Malleshwaram",1
"Did you finish the project?",0
"Bro maal chahiye Electronic City side",1
"Family dinner at Kengeri",0
"get some pills at Whitefield",1
"Party at my place later",0
"Cash ready, bring mdma to Malleshwaram",1
"Where can I buy weed tonight?",1
"Where can I supply powder later?",1
"bring coke to KR Puram tomorrow",1
"Drop hash at my place in Commercial Street",1
"Get green apples at Shivajinagar market",0
"Going to Rajajinagar for dinner",0
"Pick 🧪 from Rajajinagar tonight",1
"Where can I collect weed tmrw?",1
"Bro ecstasy chahiye Kengeri side",1
"grab tabs to Malleshwaram tonight",1
"Pick me up near Kengeri",0
"See you at college before work",0
"buy h@sh near Indiranagar",1
"Let's play cricket in the park",0
"See you at college this evening",0
"Cash ready, bring ganja to Bellandur",1
"Arrange powder at HSR Layout 2nite",1
"Did you call the electrician?",0
"Pick 🧪 from KR Puram after class",1
"get charas near Kengeri",1
"Need coke from Malleshwaram",1
"Collect papers from Commercial Street",0
"Collect papers from KR Puram",0
"arrng lsd near MG Road",1
"Party at my place 2nite",0
"Cash ready, bring doob to Whitefield",1
"Drop tabs at my place in KR Puram",1
"Cash ready, bring weed to Jayanagar",1
"Bro mj chahiye Majestic side",1
"Drop charas at my place in Whitefield",1
"pick up h@sh near BTM",1
"score tabs near Malleshwaram",1
"Send w33d via courier tomorrow",1
"supply doob to Electronic City tonight",1
"bring some k3t at Rajajinagar",1
"Pick me up near Majestic",0
"Let's meet at Commercial Street 2nite",0
"Need coke from Electronic City",1
"Going to Airport Road for dinner",0
"I'll drop by Banashankari at midnight",0
"See you at college tomorrow",0
"Bro LSD chahiye Shivajinagar side",1
"Family dinner at Malleshwaram",0
"Let's meet at Airport Road in the morning",0
"Did you call the electrician?",0
"Pick up vegetables from Commercial Street",0
"Catching a movie at Whitefield",0
"Arrange md at Electronic City before work",1
"Going to Banashankari for dinner",0
"bring mj to Banashankari tmrw",1
"Arrange trip at KR Puram now",1
"Where can I supply trip now?",1
"Need molly from Majestic",1
"pick up some md at BTM",1
"Going shopping at HSR Layout",0
"Pick up vegetables from Shivajinagar",0
"Family dinner at HSR Layout",0
"Arrange tabs at Jayanagar tmrw",1
"Get green apples at Bellandur market",0
"Don't forget the office meeting",0
"Let's meet at Whitefield tmrw",0
"Pick me up near Whitefield",0
"collect lsd near Airport Road",1
"Pick up vegetables from BTM",0
"send some ecstasy at Koramangala",1
"Arrange ganjaa at Jayanagar in the morning",1
"Party at my place later",0
"Get green apples at Silk Board market",0
"Need tabs from HSR Layout",1
"Party at my place before work",0
"collect h@sh to Airport Road right away",1
"Get green apples at Kengeri market",0
"Pick up vegetables from Shivajinagar",0
"Bro stuff chahiye Shivajinagar side",1
"Party at my place at midnight",0
"Going shopping at Electronic City",0
"Pick 🧪 from Malleshwaram later",1
"Party at my place this evening",0
"See you at college tonight",0
"Family dinner at KR Puram",0
"Cash ready, bring k3t to Jayanagar",1
"See you at college now",0
"Cash ready, bring acid to Airport Road",1
"Collect papers from Commercial Street",0
"Arrange maal at BTM in the morning",1
"Drop ma@l at my place in Majestic",1
"Bro md chahiye Bellandur side",1
"Arrange molly at Banashankari at midnight",1
"Let's meet at Majestic later",0
"Pick me up near Rajajinagar",0
"Arrange h@sh at Silk Board in the morning",1
"Bro trip chahiye Indiranagar side",1
"Where can I supply weed now?",1
"Did you finish the project?",0
"Where can I supply trip tonight?",1
"bring some molly at Kengeri",1
"Cash ready, bring stuff to BTM",1
"Catching a movie at Indiranagar",0
"Drop coke at my place in Majestic",1
"Drop doob at my place in Kengeri",1
"Pick me up near Shivajinagar",0
"Drop brown sugar at my place in Whitefield",1
"See you at college right away",0
"I'll drop by Kengeri tmrw",0
"Bro md chahiye HSR Layout side",1
"arrng some grass at HSR Layout",1
"Need powder from KR Puram",1
"Bro doob chahiye Whitefield side",1
"Send ganja via courier tmrw",1
"Pick 💊 from Silk Board tomorrow",1
"Where can I buy LSD tomorrow?",1
"See you tomorrow at Airport Road",0
"Did you call the electrician?",0
"Let's play cricket in the park",0
"Did you call the electrician?",0
"buy some coke at Banashankari",1
"Need hash from KR Puram",1
"Collect papers from Majestic",0
"Pick up vegetables from Bellandur",0
"Going shopping at Cubbon Park",0
"See you tomorrow at Commercial Street",0
"Send md via courier in the morning",1
"Where can I send w33d later?",1
"Pick 🌿 from BTM at midnight",1
"Cash ready, bring mj to Indiranagar",1
"deliver grn to Shivajinagar tomorrow",1
"Send w33d via courier after class",1
"Arrange md at KR Puram tonight",1
"supply pot to KR Puram right away",1
"Bro grn chahiye Bellandur side",1
"Did you finish the project?",0
"supply pot near Shivajinagar",1
"Drop ecstasy at my place in Malleshwaram",1
"Drop charas at my place in Banashankari",1
"Drop xtc at my place in Silk Board",1
"Pick 🌿 from Rajajinagar this evening",1
"Get green apples at Cubbon Park market",0
"deliver w33d near Shivajinagar",1
"Pick 🧪 from HSR Layout at midnight",1
"Where can I score hash in the morning?",1
"I'll drop by KR Puram after class",0
"Party at my place tomorrow",0
"Party at my place right away",0
"Get green apples at Whitefield market",0
"get some doob at Electronic City",1
"Let's meet at MG Road 2nite",0
"pick up acid to KR Puram tonight",1
"Catching a movie at Cubbon Park",0
"How's your day going?",0
"send LSD to HSR Layout tomorrow",1
"Drop hash at my place in Silk Board",1
"Going shopping at Electronic City",0
"Did you call the electrician?",0
"Let's meet at Airport Road right away",0
"Family dinner at Indiranagar",0
"Pick up vegetables from Silk Board",0
"supply coke near Commercial Street",1
"Collect papers from Banashankari",0
"Pick me up near Jayanagar",0
"Did you call the electrician?",0
"Need tabs from Kengeri",1
"Collect papers from Banashankari",0
"See you at college tmrw",0
"Pick 💊 from BTM before work",1
"Cash ready, bring maal to Malleshwaram",1
"supply some pot at Bellandur",1
"Let's meet at Airport Road now",0
"Arrange brown sugar at Jayanagar now",1
"Bro powder chahiye Commercial Street side",1
"Family dinner at HSR Layout",0
"supply pills near Indiranagar",1
"buy md to KR Puram now",1
"Where can I get ganja at midnight?",1
"Cash ready, bring acid to Indiranagar",1
"Let's meet at Airport Road in the morning",0
"Did you finish the project?",0
"Going to Cubbon Park for dinner",0
"I'll drop by Indiranagar right away",0
"Need LSD from Majestic",1
"Going shopping at BTM",0
"Where can I deliver dope before work?",1
"Need xtc from Banashankari",1
"Family dinner at Shivajinagar",0
"Send grn via courier at midnight",1
"Family dinner at Shivajinagar",0
"Pick up vegetables from HSR Layout",0
"How's your day going?",0
"Catching a movie at Whitefield",0
"Drop doob at my place in Rajajinagar",1
"Pick me up near BTM",0
"Catching a movie at Kengeri",0
"Going to Bellandur for dinner",0
"Catching a movie at Shivajinagar",0
"Arrange ma@l at Kengeri before work",1
"Collect papers from Commercial Street",0
"Did you finish the project?",0
"Bro trip chahiye KR Puram side",1
"Arrange pot at Majestic tomorrow",1
"Drop tabs at my place in Electronic City",1
"arrng ganja to Whitefield tmrw",1
"Where can I score pills this evening?",1
"See you tomorrow at Indiranagar",0
"Send trip via courier tonight",1
"Party at my place before work",0
"Drop doob at my place in Cubbon Park",1
"collect ganja to Silk Board now",1
"Bro dope chahiye Rajajinagar side",1
"Pick 💊 from Kengeri tomorrow",1
"Going shopping at Commercial Street",0
"Pick 🧪 from Malleshwaram in the morning",1
"Did you call the electrician?",0
"grab some acid tabs at Rajajinagar",1
"Get green apples at Jayanagar market",0
"Pick 💊 from Banashankari right away",1
"Pick 🍄 from Cubbon Park tonight",1
"Need tabs from Majestic",1
"See you at college 2nite",0
"Let's meet at Silk Board after class",0
"Arrange charas at HSR Layout tonight",1
"Bro maal chahiye Majestic side",1
"Let's meet at Koramangala tonight",0
"Let's play cricket in the park",0
"Let's play cricket in the park",0
"Pick me up near Airport Road",0
"Need trip from Malleshwaram",1
"See you at college at midnight",0
"How's your day going?",0
"Pick me up near Banashankari",0
"arrng some ecstasy at Airport Road",1
"I'll drop by Airport Road tmrw",0
"Cash ready, bring w33d to Whitefield",1
"Arrange acid at Shivajinagar at midnight",1
"Don't forget the office meeting",0
"Pick me up near Whitefield",0
"I'll drop by Airport Road this evening",0
"See you at college after class",0
"Let's meet at Commercial Street tomorrow",0
"How's your day going?",0
"Going shopping at Electronic City",0
"Where can I send mj this evening?",1
"Party at my place in the morning",0
"See you tomorrow at Malleshwaram",0
"Cash ready, bring k3t to Electronic City",1
"collect coke near Electronic City",1
"Arrange lsd at Rajajinagar at midnight",1
"Don't forget the office meeting",0
"Did you finish the project?",0
"Cash ready, bring weed to Commercial Street",1
"collect mj to Jayanagar before work",1
"Collect papers from Jayanagar",0
"Party at my place 2nite",0
"Let's play cricket in the park",0
"drop grass near Cubbon Park",1
"Bro maal chahiye Majestic side",1
"arrange some stuff at HSR Layout",1
"Going to Indiranagar for dinner",0
"Don't forget the office meeting",0
"Bro ganjaa chahiye Kengeri side",1
"deliver some dope at Kengeri",1
"Pick 🧪 from Koramangala tomorrow",1
"Bro tabs chahiye Kengeri side",1
"How's your day going?",0
"Get green apples at Commercial Street market",0
"Where can I send xtc before work?",1
"Where can I arrng acid tabs in the morning?",1
"Where can I send w33d later?",1
"Going to Cubbon Park for dinner",0
"Bro grn chahiye Shivajinagar side",1
"Get green apples at Bellandur market",0
"grab some dope at Shivajinagar",1
"How's your day going?",0
"Arrange hash at Indiranagar later",1
"Arrange LSD at Electronic City before work",1
"Let's meet at Banashankari tonight",0
"Where can I drop charas tonight?",1
"get tabs near Whitefield",1
"Send stuff via courier tomorrow",1
"Did you call the electrician?",0
"Drop xtc at my place in Commercial Street",1
"grab h@sh near Shivajinagar",1
"Send weed via courier at midnight",1
"Pick 🧪 from Airport Road in the morning",1
"Let's play cricket in the park",0
"Cash ready, bring pills to Bellandur",1
"Drop grass at my place in Malleshwaram",1
"Did you call the electrician?",0
"Arrange xtc at HSR Layout tomorrow",1
"Let's meet at Silk Board tomorrow",0
"Party at my place at midnight",0
"See you tomorrow at Koramangala",0
"Party at my place in the morning",0
"bring LSD near Rajajinagar",1
"Where can I supply LSD after class?",1
"Don't forget the office meeting",0
"Need ganjaa from Banashankari",1
"Send mj via courier 2nite",1
"How's your day going?",0
"Where can I drop md before work?",1
"Pick 💊 from Majestic tomorrow",1
"Pick me up near Majestic",0
"Did you call the electrician?",0
"See you tomorrow at Airport Road",0
"Send tabs via courier tonight",1
"See you tomorrow at Jayanagar",0
"Going shopping at KR Puram",0
"Let's play cricket in the park",0
"Where can I supply acid right away?",1
"Pick 🧪 from Kengeri right away",1
"Did you finish the project?",0
"deliver weed to Cubbon Park in the morning",1
"Did you call the electrician?",0
"Collect papers from Silk Board",0
"supply some LSD at Kengeri",1
"Catching a movie at Silk Board",0
"Send k3t via courier 2nite",1
"Arrange pot at Whitefield in the morning",1
"Pick 💊 from Rajajinagar this evening",1
"Family dinner at Koramangala",0
"How's your day going?",0
"deliver ganjaa near MG Road",1
"Pick 🧪 from Commercial Street at midnight",1
"deliver pills near Airport Road",1
"supply ma@l near Kengeri",1
"Did you call the electrician?",0
"Catching a movie at Commercial Street",0
"Party at my place after class",0
"See you at college 2nite",0
"See you tomorrow at MG Road",0
"Party at my place this evening",0
"Arrange lsd at MG Road 2nite",1
"Get green apples at Jayanagar market",0
"How's your day going?",0
"Pick 🌿 from KR Puram now",1
"Cash ready, bring md to Rajajinagar",1
"Let's meet at Silk Board 2nite",0
"Let's play cricket in the park",0
"See you tomorrow at Malleshwaram",0
"Pick 💊 from Banashankari 2nite",1
"arrange some powder at Bellandur",1
"Pick up vegetables from Shivajinagar",0
"collect molly near Rajajinagar",1
"Don't forget the office meeting",0
"Family dinner at Jayanagar",0
"Did you call the electrician?",0
"supply dope near Koramangala",1
"Bro trip chahiye Indiranagar side",1
"Pick 🍄 from MG Road tomorrow",1
"Get green apples at Silk Board market",0
"Did you call the electrician?",0
"Get green apples at Koramangala market",0
"deliver ecstasy near Banashankari",1
"Pick up vegetables from Banashankari",0
"Cash ready, bring doob to Electronic City",1
"I'll drop by KR Puram at midnight",0
"Send lsd via courier before work",1
"deliver maal near HSR Layout",1
"Need h@sh from KR Puram",1
"buy charas to Banashankari tonight",1
"Arrange acid tabs at Banashankari later",1
"Let's meet at Majestic 2nite",0
"deliver acid tabs near KR Puram",1
"Party at my place tmrw",0
"Need dope from Silk Board",1
"Don't forget the office meeting",0
"Need powder from Indiranagar",1
"Pick 🌿 from Indiranagar tonight",1
"See you at college tmrw",0
"bring some coke at Majestic",1
"Don't forget the office meeting",0
"Drop grass at my place in Majestic",1
"Where can I send tabs at midnight?",1
"Did you call the electrician?",0
"buy some h@sh at Banashankari",1
"Need tabs from Airport Road",1
"Catching a movie at Silk Board",0
"Arrange stuff at Airport Road in the morning",1
"Pick 🧪 from Koramangala tomorrow",1
"Where can I get brown sugar now?",1
"Arrange h@sh at Airport Road in the morning",1
"See you at college this evening",0
"See you at college in the morning",0
"Get green apples at Airport Road market",0
"Catching a movie at Rajajinagar",0
"Drop trip at my place in Shivajinagar",1
"Pick me up near Majestic",0
"How's your day going?",0
"Need dope from Jayanagar",1
"score doob to Rajajinagar after class",1
"How's your day going?",0
"How's your day going?",0
"Pick 💊 from MG Road 2nite",1
"Let's play cricket in the park",0
"Catching a movie at Majestic",0
"Bro mdma chahiye Indiranagar side",1
"Did you finish the project?",0
"Pick 🧪 from Electronic City now",1
"Pick 🧪 from Koramangala now",1
"Drop charas at my place in Kengeri",1
"Bro maal chahiye Rajajinagar side",1
"Where can I collect pills at midnight?",1
"Get green apples at Commercial Street market",0
"Cash ready, bring kush to BTM",1
"Party at my place in the morning",0
"Bro acid tabs chahiye Commercial Street side",1
"See you tomorrow at BTM",0
"Catching a movie at Electronic City",0
"Did you finish the project?",0
"Catching a movie at Electronic City",0
"arrange pills near Koramangala",1
"Going shopping at BTM",0
"Catching a movie at Malleshwaram",0
"See you tomorrow at Banashankari",0
"I'll drop by Shivajinagar before work",0
"send some pills at Silk Board",1
"Collect papers from Majestic",0
"Catching a movie at Koramangala",0
"See you at college before work",0
"Let's meet at Commercial Street later",0
"Cash ready, bring w33d to Commercial Street",1
"Where can I grab grn after class?",1
"I'll drop by Rajajinagar later",0
"Collect papers from Majestic",0
"Bro molly chahiye Indiranagar side",1
"buy some trip at Whitefield",1
"Send grn via courier tomorrow",1
"arrange some k3t at Rajajinagar",1
"Catching a movie at Majestic",0
"Family dinner at Bellandur",0
"Send acid via courier tonight",1
"Pick me up near Koramangala",0
"Drop acid tabs at my place in Indiranagar",1
"Catching a movie at Jayanagar",0
"Need xtc from BTM",1
"Going to Airport Road for dinner",0
"Party at my place later",0
"Where can I buy pot before work?",1
"Cash ready, bring mj to Cubbon Park",1
"Send ganjaa via courier tomorrow",1
"Need mdma from Cubbon Park",1
"Let's meet at HSR Layout later",0
"Going shopping at Rajajinagar",0
"Family dinner at BTM",0
"Pick up vegetables from Malleshwaram",0
"Bro pills chahiye Airport Road side",1
"Send kush via courier this evening",1
"Did you call the electrician?",0
"Get green apples at Electronic City market",0
"Cash ready, bring ecstasy to Shivajinagar",1
"Party at my place in the morning",0
"Collect papers from BTM",0
"Bro charas chahiye Indiranagar side",1
"Let's meet at Indiranagar now",0
"Did you finish the project?",0
"Drop w33d at my place in MG Road",1
"Let's meet at Shivajinagar right away",0
"Need acid tabs from BTM",1
"Where can I bring k3t right away?",1
"Need grn from Silk Board",1
"Arrange trip at Koramangala after class",1
"Arrange kush at Malleshwaram at midnight",1
"Get green apples at Kengeri market",0
"deliver grass near BTM",1
"Going shopping at HSR Layout",0
"Cash ready, bring grn to Kengeri",1
"Going shopping at MG Road",0
"Going shopping at Cubbon Park",0
"Did you finish the project?",0
"arrng ma@l near Silk Board",1
"Don't forget the office meeting",0
"Cash ready, bring doob to Airport Road",1
"Arrange dope at Banashankari 2nite",1
"Drop xtc at my place in Electronic City",1
"Don't forget the office meeting",0
"drop hash near Shivajinagar",1
"Send charas via courier this evening",1
"Bro LSD chahiye Malleshwaram side",1
"Going to Silk Board for dinner",0
"Catching a movie at Rajajinagar",0
"supply some acid at Commercial Street",1
"Pick me up near Indiranagar",0
"Did you call the electrician?",0
"Pick 💊 from Rajajinagar at midnight",1
"Did you finish the project?",0
"Bro charas chahiye Silk Board side",1
"Cash ready, bring maal to Jayanagar",1
"Party at my place at midnight",0
"Send dope via courier tomorrow",1
"Bro trip chahiye Electronic City side",1
"Party at my place tonight",0
"See you tomorrow at Kengeri",0
"score acid tabs to KR Puram before work",1
"Where can I bring md in the morning?",1
"Cash ready, bring k3t to MG Road",1
"Pick up vegetables from Shivajinagar",0
"collect ganja to KR Puram right away",1
"Bro md chahiye Shivajinagar side",1
"Send weed via courier in the morning",1
"Bro mdma chahiye Whitefield side",1
"Let's play cricket in the park",0
"Collect papers from Electronic City",0
"Don't forget the office meeting",0
"Catching a movie at Indiranagar",0
"buy pills to Majestic this evening",1
"Don't forget the office meeting",0
"get some weed at Kengeri",1
"Let's meet at Commercial Street after class",0
"score weed near Bellandur",1
"drop some h@sh at Electronic City",1
"Did you finish the project?",0
"Let's play cricket in the park",0
"get acid near Electronic City",1
"Going to Jayanagar for dinner",0
"I'll drop by Jayanagar in the morning",0
"Drop ganjaa at my place in Indiranagar",1
"Drop pot at my place in Whitefield",1
"Need dope from MG Road",1
"Bro kush chahiye Kengeri side",1
"Drop hash at my place in Malleshwaram",1
"pick up acid to Airport Road tmrw",1
"Let's meet at Cubbon Park tonight",0
"Let's play cricket in the park",0
"Pick me up near Airport Road",0
"supply some LSD at MG Road",1
"Collect papers from Banashankari",0
"arrange coke near Malleshwaram",1
"Send kush via courier 2nite",1
"I'll drop by Silk Board now",0
"Collect papers from Shivajinagar",0
"Pick up vegetables from Shivajinagar",0
"drop k3t near Jayanagar",1
"Where can I bring grass 2nite?",1
"Catching a movie at Jayanagar",0
"Don't forget the office meeting",0
"Pick me up near Bellandur",0
"Catching a movie at HSR Layout",0
"Cash ready, bring weed to Shivajinagar",1
"Send ma@l via courier this evening",1
"Catching a movie at Commercial Street",0
"See you at college this evening",0
"Pick me up near Whitefield",0
"Get green apples at Cubbon Park market",0
"I'll drop by Majestic 2nite",0
"Need ecstasy from Airport Road",1
"Pick me up near Whitefield",0
"How's your day going?",0
"Need weed from Whitefield",1
"score grass near Indiranagar",1
"Pick me up near Whitefield",0
"I'll drop by Banashankari in the morning",0
"buy ganjaa near Electronic City",1
"Let's meet at Indiranagar before work",0
"arrng some trip at Electronic City",1
"Drop mj at my place in Airport Road",1
"score acid to Koramangala in the morning",1
"Did you call the electrician?",0
"Did you call the electrician?",0
"Where can I drop dope at midnight?",1
"See you at college tmrw",0
"Don't forget the office meeting",0
"How's your day going?",0
"Bro mj chahiye Majestic side",1
"Pick me up near HSR Layout",0
"Family dinner at HSR Layout",0
"collect kush to BTM in the morning",1
"I'll drop by Cubbon Park at midnight",0
"Let's play cricket in the park",0
"Bro pills chahiye KR Puram side",1
"Get green apples at Jayanagar market",0
"Drop lsd at my place in BTM",1
"Need mj from Jayanagar",1
"See you tomorrow at Banashankari",0
"Bro mdma chahiye KR Puram side",1
"Let's meet at Shivajinagar later",0
"Pick up vegetables from HSR Layout",0
"Did you finish the project?",0
"Don't forget the office meeting",0
"arrange ganjaa near Banashankari",1
"Get green apples at Shivajinagar market",0
"Collect papers from Cubbon Park",0
"Pick 🍄 from MG Road in the morning",1
"Where can I drop stuff tmrw?",1
"Did you finish the project?",0
"Party at my place 2nite",0
"Family dinner at Cubbon Park",0
"Party at my place at midnight",0
"Party at my place after class",0
"Let's play cricket in the park",0
"supply ganjaa near Rajajinagar",1
"Did you finish the project?",0
"Did you finish the project?",0
"Did you call the electrician?",0
